Credit Score,First Payment Date,First Time Homebuyer Flag,Maturity Date,MSA Code,MI %,Number of units,Occupancy Status,Original Combined LTV,Original DI Ratio,Original UPB,Original LTV,Original Interest Rate,Channel,PPM Flag,Product Type,Property State,Property Type,Postal Code,Loan Sequence Number,Loan Purpose,Original Loan Term,Number of Borrowers,Seller Name,Servicer Name
652,201304,9,204303,,0,1,P,50,44,105000,50,3.5,R,N,FRM,NH,SF,3200,F113Q1000022,C,360,1,Other sellers,"PNCBANK,NATL"
789,201303,9,204302,,0,1,S,80,37,260000,80,3.625,R,N,FRM,NH,SF,3800,F113Q1000042,P,360,2,Other sellers,"PNCBANK,NATL"
767,201304,9,204303,38860,0,1,P,31,33,78000,23,3.375,R,N,FRM,ME,SF,4500,F113Q1000085,N,360,1,Other sellers,Other servicers
777,201303,N,204302,,0,1,P,67,49,70000,67,3.75,R,N,FRM,ME,SF,4500,F113Q1000146,P,360,1,Other sellers,Other servicers
729,201304,9,204303,15540,0,1,P,80,35,276000,80,3.875,R,N,FRM,VT,SF,5400,F113Q1000012,N,360,2,Other sellers,Other servicers
759,201303,9,204302,14860,0,1,P,90,29,381000,80,3.25,R,N,FRM,CT,SF,6400,F113Q1000183,N,360,2,Other sellers,Other servicers
715,201303,9,204302,35004,0,1,P,80,29,272000,80,3.625,R,N,FRM,NY,SF,11500,F113Q1000100,C,360,1,Other sellers,Other servicers
749,201304,9,204303,10580,0,2,P,79,41,104000,79,3.5,R,N,FRM,NY,SF,12000,F113Q1000079,N,360,1,Other sellers,Other servicers
706,201303,9,204302,10580,0,1,P,78,22,350000,78,3.5,R,N,FRM,NY,SF,12000,F113Q1000159,N,360,1,Other sellers,Other servicers
767,201303,9,204302,,0,1,P,46,44,391000,46,3.375,R,N,FRM,NY,SF,12100,F113Q1000090,C,360,1,Other sellers,Other servicers
764,201305,Y,204304,35614,25,1,P,90,36,164000,90,3.625,R,N,FRM,NY,SF,12500,F113Q1000060,P,360,1,Other sellers,Other servicers
766,201305,9,204304,20524,12,1,P,83,34,210000,83,3.5,R,N,FRM,NY,SF,12500,F113Q1000096,N,360,2,Other sellers,Other servicers
759,201304,9,204303,,0,1,I,70,42,60000,70,3.99,R,N,FRM,NY,CO,12900,F113Q1000067,C,360,1,Other sellers,Other servicers
790,201304,9,204303,13780,0,1,P,69,18,120000,69,3.375,R,N,FRM,NY,SF,13700,F113Q1000028,C,360,2,Other sellers,Other servicers
740,201305,Y,204304,27060,0,1,P,95,29,59000,66,3.625,R,N,FRM,NY,SF,14800,F113Q1000173,P,360,1,Other sellers,Other servicers
787,201303,9,204302,49620,0,1,I,34,31,81000,34,4,R,N,FRM,PA,SF,17400,F113Q1000033,N,360,2,Other sellers,"PNCBANK,NATL"
787,201303,Y,204302,37964,30,1,P,95,23,44000,95,3.625,R,N,FRM,PA,SF,19000,F113Q1000048,P,360,1,Other sellers,Other servicers
679,201305,9,204304,47894,0,1,P,80,37,244000,80,3.625,R,N,FRM,MD,PU,20700,F113Q1000072,C,360,1,Other sellers,Other servicers
686,201303,N,204302,48864,0,1,P,80,38,177000,80,3.875,R,N,FRM,MD,SF,21900,F113Q1000068,P,360,1,Other sellers,Other servicers
780,201303,9,204302,,0,1,S,75,42,175000,64,3.375,R,N,FRM,VA,SF,22400,F113Q1000144,C,360,1,Other sellers,Other servicers
804,201303,9,204302,,0,1,I,74,6,334000,74,3.75,R,N,FRM,VA,SF,22500,F113Q1000076,C,360,2,Other sellers,Other servicers
684,201303,9,204302,,0,1,P,67,44,325000,33,3.375,R,N,FRM,VA,SF,22500,F113Q1000098,C,360,1,Other sellers,Other servicers
799,201303,9,204302,47260,0,1,P,86,40,344000,80,3.5,R,N,FRM,VA,SF,23000,F113Q1000030,N,360,2,Other sellers,Other servicers
756,201304,9,204303,47894,12,1,P,83,45,374000,83,3.5,R,N,FRM,WV,SF,25400,F113Q1000027,N,360,1,Other sellers,Other servicers
642,201303,9,204302,,0,1,P,68,45,200000,54,3.5,R,N,FRM,WV,SF,26300,F113Q1000088,N,360,1,Other sellers,Other servicers
770,201305,9,204304,,0,1,P,80,21,108000,80,3.375,R,N,FRM,WV,SF,26300,F113Q1000112,C,360,1,Other sellers,Other servicers
721,201305,9,204304,,0,1,P,71,34,344000,71,3.875,R,N,FRM,WV,SF,26400,F113Q1000018,C,360,2,Other sellers,Other servicers
769,201303,9,204302,39580,0,1,I,58,38,416000,58,3.625,R,N,FRM,NC,PU,27500,F113Q1000166,N,360,2,Other sellers,Other servicers
703,201303,N,204302,,25,1,P,89,42,80000,89,3.375,C,N,FRM,NC,SF,28500,F113Q1000190,P,360,1,Other sellers,"PNCBANK,NATL"
733,201303,9,204302,24860,30,1,P,94,38,388000,94,3.375,R,N,FRM,SC,PU,29600,F113Q1000133,N,360,2,Other sellers,Other servicers
764,201303,9,204302,15980,0,1,P,80,32,126000,50,3.5,R,N,FRM,FL,PU,33900,F113Q1000091,N,360,1,Other sellers,USBANKNA
768,201304,9,204303,28940,0,1,S,80,30,148000,80,3.5,R,N,FRM,TN,SF,37700,F113Q1000109,P,360,2,Other sellers,"PNCBANK,NATL"
785,201303,9,204302,,0,1,S,75,38,311000,75,3.125,R,N,FRM,TN,SF,37700,F113Q1000171,C,360,2,Other sellers,Other servicers
771,201304,9,204303,,0,1,I,74,36,56000,74,4.375,R,N,FRM,MS,PU,39400,F113Q1000062,C,360,2,Other sellers,"PNCBANK,NATL"
749,201303,9,204302,31140,0,1,I,61,27,79000,61,3.375,R,N,FRM,KY,SF,40200,F113Q1000113,N,360,2,Other sellers,Other servicers
734,201303,9,204302,,0,1,P,80,31,168000,80,3.5,R,N,FRM,KY,SF,40300,F113Q1000101,C,360,1,Other sellers,"PNCBANK,NATL"
713,201303,9,204302,30460,0,1,P,70,32,89000,70,3.375,R,N,FRM,KY,SF,40300,F113Q1000160,N,360,1,Other sellers,Other servicers
709,201303,9,204302,,25,1,P,89,36,190000,89,3.375,R,N,FRM,KY,SF,40400,F113Q1000092,N,360,2,Other sellers,"PNCBANK,NATL"
729,201303,Y,204302,30460,0,1,P,80,21,139000,80,3.5,R,N,FRM,KY,SF,40500,F113Q1000056,P,360,2,Other sellers,Other servicers
725,201303,9,204302,,12,1,P,84,45,107000,84,3.25,R,N,FRM,KY,SF,40700,F113Q1000121,N,360,2,Other sellers,Other servicers
773,201303,9,204302,,0,1,P,65,32,232000,65,3,R,N,FRM,KY,SF,40700,F113Q1000156,N,360,2,Other sellers,Other servicers
746,201304,9,204303,14540,0,1,P,80,29,182000,80,3.625,R,N,FRM,KY,SF,42100,F113Q1000066,C,360,1,Other sellers,Other servicers
797,201303,9,204302,14540,0,1,P,34,46,200000,34,3.375,R,N,FRM,KY,SF,42100,F113Q1000084,N,360,2,Other sellers,Other servicers
664,201303,9,204302,14540,0,1,I,47,33,53000,47,3.625,R,N,FRM,KY,SF,42100,F113Q1000108,N,360,2,Other sellers,Other servicers
657,201303,9,204302,14540,0,1,P,76,33,88000,76,3.875,R,N,FRM,KY,SF,42100,F113Q1000111,N,360,2,Other sellers,Other servicers
777,201303,9,204302,14540,0,1,I,72,11,100000,72,3.625,R,N,FRM,KY,SF,42100,F113Q1000114,N,360,2,Other sellers,Other servicers
790,201303,9,204302,14540,0,1,P,80,28,248000,80,3.125,R,N,FRM,KY,SF,42100,F113Q1000141,N,360,1,Other sellers,Other servicers
762,201304,9,204303,,0,1,P,80,45,202000,80,3.625,R,N,FRM,KY,SF,42100,F113Q1000177,C,360,2,Other sellers,Other servicers
800,201303,9,204302,36980,0,1,P,80,21,252000,80,3,R,N,FRM,KY,SF,42300,F113Q1000115,N,360,2,Other sellers,Other servicers
727,201304,9,204303,36980,12,1,P,85,30,139000,85,3.25,R,N,FRM,KY,SF,42300,F113Q1000116,N,360,2,Other sellers,Other servicers
812,201303,9,204302,36980,0,1,P,73,23,121000,73,3.125,R,N,FRM,KY,SF,42300,F113Q1000161,N,360,1,Other sellers,Other servicers
709,201303,9,204302,36980,0,1,P,70,33,91000,70,3.125,R,N,FRM,KY,SF,42300,F113Q1000193,N,360,2,Other sellers,Other servicers
772,201303,9,204302,21780,0,1,P,63,21,72000,63,3.5,R,N,FRM,KY,SF,42400,F113Q1000069,N,360,2,Other sellers,Other servicers
675,201303,9,204302,,12,1,P,84,27,104000,84,3.75,R,N,FRM,KY,SF,42400,F113Q1000107,N,360,2,Other sellers,Other servicers
754,201304,9,204303,,0,1,P,80,45,244000,80,3.625,R,N,FRM,KY,SF,42400,F113Q1000140,C,360,2,Other sellers,Other servicers
779,201303,9,204302,,0,1,P,74,28,248000,74,3,R,N,FRM,KY,SF,42400,F113Q1000150,N,360,2,Other sellers,Other servicers
698,201303,9,204302,21780,0,1,P,88,45,190000,80,4,R,N,FRM,KY,SF,42400,F113Q1000172,N,360,2,Other sellers,Other servicers
801,201303,9,204302,21060,0,1,P,58,42,150000,58,3.125,R,N,FRM,KY,SF,42700,F113Q1000182,N,360,1,Other sellers,Other servicers
698,201304,9,204303,21060,0,1,P,95,38,394000,75,3.5,R,N,FRM,KY,SF,42700,F113Q1000199,N,360,2,Other sellers,Other servicers
730,201304,Y,204303,,0,1,P,80,32,96000,80,3.625,R,N,FRM,OH,SF,43500,F113Q1000059,P,360,1,Other sellers,Other servicers
800,201305,N,204304,45780,0,1,P,80,24,99000,80,3.625,R,N,FRM,OH,SF,43600,F113Q1000014,P,360,1,Other sellers,NATIONSTARMTGELLCDBA
778,201303,9,204302,10420,0,1,P,78,36,88000,78,3.375,R,N,FRM,OH,SF,44300,F113Q1000021,N,360,1,Other sellers,Other servicers
809,201303,9,204302,19380,0,1,P,57,23,146000,57,3,R,N,FRM,OH,SF,45300,F113Q1000189,N,360,1,Other sellers,USBANKNA
693,201303,9,204302,,0,1,P,80,38,212000,80,3.625,R,N,FRM,IN,SF,46700,F113Q1000104,C,360,2,Other sellers,Other servicers
736,201305,Y,204304,,25,1,P,90,44,59000,90,3.75,R,N,FRM,IN,SF,47900,F113Q1000117,P,360,1,Other sellers,Other servicers
805,201303,9,204302,13020,0,1,P,57,42,100000,57,3.625,R,N,FRM,MI,SF,48600,F113Q1000053,C,360,1,Other sellers,Other servicers
790,201304,9,204303,29620,0,1,P,75,28,136000,75,3.75,R,N,FRM,MI,CO,48800,F113Q1000180,N,360,1,Other sellers,NATIONSTARMTGELLCDBA
740,201304,9,204303,12980,0,1,P,73,31,155000,73,3.375,R,N,FRM,MI,SF,49000,F113Q1000019,C,360,1,Other sellers,Other servicers
691,201304,9,204303,24340,0,1,P,75,33,106000,75,3.875,R,N,FRM,MI,CO,49400,F113Q1000011,N,360,2,Other sellers,Other servicers
784,201303,9,204302,,0,1,P,63,17,215000,63,3.25,R,N,FRM,MI,SF,49400,F113Q1000192,N,360,2,Other sellers,USBANKNA
761,201303,9,204302,,0,2,I,70,38,123000,70,4.125,R,N,FRM,MI,SF,49600,F113Q1000070,C,360,2,Other sellers,Other servicers
744,201303,9,204302,19780,0,1,P,79,45,417000,61,3.25,R,N,FRM,IA,SF,50200,F113Q1000038,N,360,2,Other sellers,Other servicers
723,201304,9,204303,19780,30,1,P,95,37,204000,95,3.5,R,N,FRM,IA,SF,50300,F113Q1000034,N,360,2,Other sellers,Other servicers
763,201303,9,204302,,0,1,P,80,13,75000,80,3.375,R,N,FRM,IA,SF,50500,F113Q1000005,N,360,2,Other sellers,Other servicers
729,201304,9,204303,,25,1,P,86,34,73000,86,3.375,R,N,FRM,IA,SF,50500,F113Q1000061,N,360,2,Other sellers,Other servicers
744,201303,9,204302,,0,1,P,80,36,332000,80,3.125,R,N,FRM,IA,SF,51000,F113Q1000123,C,360,2,Other sellers,Other servicers
806,201303,9,204302,43580,0,1,P,71,30,95000,71,3,R,N,FRM,IA,SF,51000,F113Q1000143,N,360,1,Other sellers,USBANKNA
732,201303,9,204302,43580,0,1,P,80,45,368000,80,3,R,N,FRM,IA,SF,51000,F113Q1000175,N,360,2,Other sellers,Other servicers
765,201304,9,204303,,0,1,P,80,31,147000,80,3.5,R,N,FRM,IA,SF,51300,F113Q1000004,N,360,2,Other sellers,Other servicers
769,201305,9,204304,,0,1,P,77,24,192000,77,3.75,R,N,FRM,IA,SF,51300,F113Q1000020,C,360,2,Other sellers,Other servicers
773,201303,9,204302,,0,1,P,77,20,305000,77,3.375,R,N,FRM,IA,SF,51300,F113Q1000035,C,360,2,Other sellers,Other servicers
714,201305,9,204304,,0,1,P,65,43,97000,65,4,R,N,FRM,IA,SF,51300,F113Q1000041,N,360,1,Other sellers,Other servicers
744,201303,9,204302,,0,1,P,90,26,131000,80,3.5,R,N,FRM,IA,SF,51300,F113Q1000055,N,360,1,Other sellers,Other servicers
729,201303,9,204302,,0,1,P,88,41,175000,80,3.25,R,N,FRM,IA,SF,52100,F113Q1000003,N,360,2,Other sellers,Other servicers
764,201303,9,204302,16300,0,1,I,75,18,136000,75,3.75,R,N,FRM,IA,SF,52400,F113Q1000179,N,360,2,Other sellers,Other servicers
792,201303,9,204302,19340,0,1,P,79,42,200000,79,3.375,R,N,FRM,IA,PU,52700,F113Q1000132,N,360,2,Other sellers,NATIONSTARMTGELLC
714,201303,9,204302,39540,0,1,P,85,40,159000,80,3.625,R,N,FRM,WI,SF,53100,F113Q1000118,N,360,2,Other sellers,Other servicers
785,201303,9,204302,33340,0,1,P,84,17,253000,80,3.375,R,N,FRM,WI,SF,53200,F113Q1000002,N,360,2,Other sellers,Other servicers
752,201305,9,204304,33340,0,1,P,90,33,413000,64,3.25,R,N,FRM,WI,SF,53200,F113Q1000009,N,360,2,Other sellers,Other servicers
784,201305,9,204304,39540,0,1,P,80,30,346000,80,3.625,R,N,FRM,WI,SF,53400,F113Q1000001,C,360,1,Other sellers,Other servicers
794,201304,9,204303,33460,0,1,P,49,41,129000,34,3.625,R,N,FRM,WI,SF,54000,F113Q1000036,N,360,1,Other sellers,Other servicers
776,201304,9,204303,33460,0,1,P,80,29,168000,80,3.5,R,N,FRM,WI,SF,54000,F113Q1000064,C,360,2,Other sellers,Other servicers
805,201303,9,204302,,0,1,P,69,29,117000,69,3.125,R,N,FRM,WI,SF,54600,F113Q1000128,C,360,2,Other sellers,Other servicers
665,201303,9,204302,29100,0,1,P,60,26,250000,60,2.875,R,N,FRM,WI,SF,54600,F113Q1000195,N,360,2,Other sellers,Other servicers
721,201305,9,204304,33460,0,1,P,80,45,348000,80,4.125,R,N,FRM,MN,SF,55100,F113Q1000046,C,360,2,Other sellers,Other servicers
798,201303,9,204302,29100,0,1,P,77,38,245000,77,2.875,R,N,FRM,MN,SF,55900,F113Q1000142,N,360,2,Other sellers,Other servicers
767,201303,9,204302,,0,1,P,69,37,108000,69,2.875,R,N,FRM,MN,SF,55900,F113Q1000153,N,360,1,Other sellers,Other servicers
723,201303,9,204302,,0,1,P,60,18,201000,60,2.875,R,N,FRM,MN,SF,55900,F113Q1000167,C,360,2,Other sellers,Other servicers
791,201303,9,204302,,0,1,P,80,46,178000,80,3.25,R,N,FRM,MN,SF,55900,F113Q1000174,C,360,2,Other sellers,Other servicers
808,201303,9,204302,,0,1,P,55,19,47000,55,2.875,R,N,FRM,MN,SF,55900,F113Q1000178,N,360,2,Other sellers,Other servicers
781,201303,9,204302,,0,1,S,80,25,212000,80,3.375,R,N,FRM,MN,SF,56400,F113Q1000047,P,360,2,Other sellers,Other servicers
784,201304,9,204303,22020,0,1,P,80,43,152000,80,3.375,R,N,FRM,ND,SF,58000,F113Q1000052,C,360,1,Other sellers,Other servicers
753,201304,9,204303,24220,0,1,P,56,38,76000,56,3.375,R,N,FRM,ND,SF,58200,F113Q1000071,C,360,1,Other sellers,Other servicers
750,201303,N,204302,13900,0,1,P,68,42,199000,68,3.625,R,N,FRM,ND,SF,58500,F113Q1000065,P,360,1,Other sellers,Other servicers
759,201303,9,204302,16974,0,1,P,80,30,248000,80,3.625,R,N,FRM,IL,PU,60100,F113Q1000039,N,360,2,Other sellers,Other servicers
744,201304,9,204303,16974,0,1,P,74,45,165000,74,3.625,R,N,FRM,IL,SF,60400,F113Q1000029,N,360,2,Other sellers,NATIONSTARMTGELLCDBA
802,201303,9,204302,16974,0,1,I,73,43,206000,73,4.125,R,N,FRM,IL,CO,60600,F113Q1000176,N,360,1,Other sellers,"PNCBANK,NATL"
730,201303,9,204302,,0,1,P,80,42,258000,80,3.5,R,N,FRM,IL,SF,60900,F113Q1000087,C,360,2,Other sellers,Other servicers
752,201305,9,204304,40420,0,1,P,62,29,300000,62,3.5,R,N,FRM,IL,SF,61000,F113Q1000049,N,360,1,Other sellers,Other servicers
735,201303,9,204302,37900,0,1,P,52,35,87000,52,3.5,R,N,FRM,IL,SF,61500,F113Q1000045,N,360,2,Other sellers,Other servicers
669,201303,9,204302,37900,12,1,P,85,45,101000,85,3.75,R,N,FRM,IL,SF,61500,F113Q1000073,N,360,2,Other sellers,Other servicers
747,201304,9,204303,37900,0,1,P,74,48,163000,74,3.5,R,N,FRM,IL,PU,61600,F113Q1000126,N,360,2,Other sellers,Other servicers
809,201303,9,204302,41180,0,1,P,80,17,300000,80,3.375,R,N,FRM,IL,SF,62200,F113Q1000135,N,360,2,Other sellers,Other servicers
773,201303,9,204302,,0,1,P,85,32,114000,75,3.25,R,N,FRM,IL,SF,62400,F113Q1000151,N,360,2,Other sellers,Other servicers
724,201303,9,204302,19500,0,1,P,70,47,417000,70,3.375,R,N,FRM,IL,SF,62500,F113Q1000031,C,360,2,Other sellers,"PNCBANK,NATL"
760,201304,9,204303,41180,25,1,P,89,38,218000,89,3.75,R,N,FRM,MO,PU,63000,F113Q1000103,N,360,1,Other sellers,Other servicers
753,201304,9,204303,41180,0,1,P,90,35,360000,80,3.625,R,N,FRM,MO,SF,63100,F113Q1000086,N,360,2,Other sellers,Other servicers
713,201303,9,204302,41180,0,1,I,70,43,108000,70,4,R,N,FRM,MO,SF,63100,F113Q1000099,N,360,2,Other sellers,Other servicers
783,201305,9,204304,41180,0,1,P,58,49,147000,58,3.5,R,N,FRM,MO,PU,63100,F113Q1000188,N,360,2,Other sellers,Other servicers
781,201305,9,204304,17860,30,1,P,90,31,117000,90,3.5,R,N,FRM,MO,SF,65200,F113Q1000185,N,360,1,Other sellers,Other servicers
768,201303,9,204302,,0,1,P,80,31,97000,80,3.5,R,N,FRM,MO,SF,65700,F113Q1000006,C,360,2,Other sellers,Other servicers
770,201303,Y,204208,44180,0,1,P,73,42,314000,73,3.5,C,N,FRM,MO,SF,65700,F113Q1000026,P,354,2,BRANCHBANKING&TRUSTC,BRANCHBANKING&TRUSTC
622,201305,9,204304,44180,0,1,P,70,45,102000,70,4.125,R,N,FRM,MO,SF,65800,F113Q1000124,C,360,2,Other sellers,Other servicers
751,201303,9,204302,28140,0,1,P,77,44,352000,77,3,R,N,FRM,KS,PU,66000,F113Q1000198,N,360,2,Other sellers,Other servicers
666,201303,9,204302,45820,0,1,P,67,24,160000,67,3.375,R,N,FRM,KS,SF,66500,F113Q1000007,N,360,2,Other sellers,Other servicers
784,201303,9,204302,36540,0,1,P,78,35,121000,78,3.5,B,N,FRM,NE,PU,68000,F113Q1000127,N,360,1,Other sellers,Other servicers
730,201305,9,204304,36540,25,1,P,89,28,113000,89,3.625,R,N,FRM,NE,SF,68100,F113Q1000032,N,360,1,Other sellers,Other servicers
775,201304,9,204303,36540,0,1,P,80,34,103000,80,3.5,R,N,FRM,NE,SF,68100,F113Q1000037,C,360,1,Other sellers,Other servicers
773,201305,Y,204304,36540,30,1,P,95,36,114000,95,3.5,R,N,FRM,NE,SF,68100,F113Q1000044,P,360,1,Other sellers,Other servicers
739,201303,9,204302,36540,0,1,P,90,28,123000,75,3.375,R,N,FRM,NE,SF,68100,F113Q1000164,N,360,2,Other sellers,Other servicers
739,201303,9,204302,30700,0,1,P,79,15,380000,79,3.375,B,N,FRM,NE,SF,68300,F113Q1000080,N,360,2,Other sellers,Other servicers
760,201304,9,204303,30700,0,1,P,95,36,300000,80,3.625,B,N,FRM,NE,SF,68500,F113Q1000074,N,360,2,Other sellers,Other servicers
727,201303,9,204302,30700,25,1,P,89,23,146000,89,4,B,N,FRM,NE,PU,68500,F113Q1000075,N,360,2,Other sellers,Other servicers
754,201303,9,204302,30700,0,1,P,48,44,175000,48,3.375,B,N,FRM,NE,PU,68500,F113Q1000097,N,360,2,Other sellers,Other servicers
786,201305,9,204304,30700,0,1,P,79,30,160000,79,3.75,B,N,FRM,NE,SF,68500,F113Q1000102,C,360,2,Other sellers,Other servicers
712,201304,9,204303,30700,0,1,P,89,25,417000,80,3.375,B,N,FRM,NE,PU,68500,F113Q1000129,N,360,2,Other sellers,Other servicers
710,201305,9,204304,30700,0,1,P,90,37,172000,80,3.875,B,N,FRM,NE,PU,68500,F113Q1000131,N,360,2,Other sellers,Other servicers
784,201303,9,204302,30700,0,1,P,80,30,318000,80,3.125,B,N,FRM,NE,PU,68500,F113Q1000134,N,360,2,Other sellers,Other servicers
783,201303,9,204302,30700,0,1,P,80,30,118000,80,3.25,B,N,FRM,NE,PU,68500,F113Q1000157,C,360,2,Other sellers,Other servicers
778,201303,9,204302,30700,0,2,P,80,24,128000,80,3.5,B,N,FRM,NE,SF,68500,F113Q1000197,N,360,2,Other sellers,Other servicers
692,201303,9,204302,24260,0,1,P,71,44,106000,71,4,R,N,FRM,NE,SF,68800,F113Q1000077,N,360,2,Other sellers,Other servicers
734,201303,9,204302,,0,1,P,76,39,112000,76,3.5,R,N,FRM,AR,SF,72500,F113Q1000136,C,360,1,Other sellers,Other servicers
770,201303,9,204302,36420,0,1,P,80,24,163000,80,3.5,R,N,FRM,OK,SF,74800,F113Q1000139,N,360,2,Other sellers,"PNCBANK,NATL"
770,201303,9,204302,,0,1,P,80,32,116000,80,3.25,R,N,FRM,OK,SF,74800,F113Q1000200,C,360,1,Other sellers,Other servicers
735,201303,9,204302,19124,0,1,P,77,22,364000,77,3.25,R,N,FRM,TX,SF,75000,F113Q1000168,N,360,2,Other sellers,Other servicers
733,201303,9,204302,,0,1,P,74,36,270000,74,3.375,R,N,FRM,CO,SF,81300,F113Q1000016,C,360,2,Other sellers,"PNCBANK,NATL"
722,201303,9,204302,30860,0,1,P,80,12,91000,80,3.25,R,N,FRM,UT,PU,84300,F113Q1000120,N,360,2,Other sellers,Other servicers
777,201303,9,204302,29820,0,1,P,70,18,97000,70,3.75,B,N,FRM,NV,SF,89100,F113Q1000013,N,360,1,Other sellers,Other servicers
720,201303,9,204302,33700,0,1,P,79,40,417000,50,3.375,R,N,FRM,CA,PU,95300,F113Q1000122,N,360,2,Other sellers,Other servicers
707,201303,9,204302,,0,2,I,75,45,64000,75,4.75,R,N,FRM,CA,SF,95900,F113Q1000010,N,360,2,Other sellers,Other servicers
791,201305,9,204304,17020,0,1,P,67,50,220000,61,3.5,R,N,FRM,CA,SF,95900,F113Q1000054,N,360,2,Other sellers,Other servicers
725,201303,9,204302,17020,30,1,P,95,31,95000,95,3.5,R,N,FRM,CA,SF,95900,F113Q1000095,N,360,1,Other sellers,Other servicers
718,201304,9,204303,49700,0,1,P,55,14,288000,55,3.375,R,N,FRM,CA,SF,95900,F113Q1000110,N,360,2,Other sellers,Other servicers
796,201303,9,204302,17020,0,1,P,29,27,52000,17,3.5,R,N,FRM,CA,SF,95900,F113Q1000125,C,360,2,Other sellers,Other servicers
806,201303,9,204302,17020,0,1,P,63,27,217000,63,3.5,R,N,FRM,CA,PU,95900,F113Q1000169,N,360,2,Other sellers,Other servicers
796,201304,9,204303,39820,0,1,P,74,48,184000,74,3.75,R,N,FRM,CA,SF,96000,F113Q1000015,C,360,2,Other sellers,Other servicers
775,201303,9,204302,,0,1,P,68,34,136000,68,3.5,R,N,FRM,CA,SF,96000,F113Q1000105,C,360,1,Other sellers,Other servicers
794,201304,9,204303,39820,0,1,P,50,39,407000,50,3.375,R,N,FRM,CA,PU,96000,F113Q1000170,N,360,2,Other sellers,Other servicers
777,201303,9,204302,27980,0,1,P,77,24,260000,77,3.375,R,N,FRM,HI,SF,96700,F113Q1000023,C,360,2,Other sellers,Other servicers
671,201304,9,204303,46520,0,1,P,80,42,383000,75,3.75,R,N,FRM,HI,PU,96700,F113Q1000043,C,360,2,Other sellers,USBANKNA
